,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Nathan,MacKinnon,Calgary Flames,C,200,72,21,17,0,0,0,0,0,2244.0,40953.0,42449.0,0,16830.0,3179.0,3179.0
1,Morgan,Geekie,Boston Bruins,C,212,75,23,16,0,0,0,0,0,1664.0,7696.0,9776.0,0,12272.0,8736.0,2496.0
2,Matt,Boldy,Ottawa Senators,L,201,74,22,14,0,0,0,0,0,1540.0,2002.0,2926.0,0,11396.0,2156.0,2464.0
3,Leon,Draisaitl,New York Islanders,C,209,74,24,14,0,0,0,0,0,1008.0,36792.0,27888.0,0,9912.0,2184.0,1344.0
4,Bo,Horvat,,C,225,73,22,14,0,0,0,0,0,2800.0,32620.0,23240.0,308,10360.0,1960.0,980.0
5,Brad,Marchand,,L,180,69,20,14,0,0,0,0,0,2772.0,154.0,462.0,0,8932.0,2310.0,1694.0
6,Connor,Bedard,Philadelphia Flyers,C,190,70,21,13,0,0,0,0,0,2574.0,11349.0,11466.0,546,8307.0,819.0,1638.0
7,Cole,Caufield,,R,175,68,21,13,0,0,0,0,0,832.0,208.0,312.0,0,6136.0,1872.0,832.0
8,Macklin,Celebrini,,C,190,72,22,13,0,0,0,0,0,1404.0,20124.0,20592.0,572,7254.0,1521.0,2106.0
9,Sidney,Crosby,Toronto Maple Leafs,C,200,71,21,13,0,0,0,0,0,3432.0,32461.0,28171.0,0,6578.0,2431.0,1716.0
10,Cutter,Gauthier,Washington Capitals,L,205,74,22,13,0,0,0,0,0,1560.0,1820.0,2600.0,286,12610.0,2210.0,1170.0
11,Martin,Necas,Calgary Flames,C,195,75,21,13,0,0,0,0,0,2288.0,1001.0,858.0,0,6578.0,3146.0,1144.0
12,Jason,Robertson,Edmonton Oilers,L,204,75,22,13,0,0,0,0,0,234.0,0.0,117.0,286,11232.0,1755.0,1521.0
13,Tyler,Bertuzzi,Philadelphia Flyers,L,200,74,18,12,0,0,0,0,0,2112.0,1920.0,1824.0,216,4032.0,1824.0,384.0
14,Jake,Guentzel,Los Angeles Kings,C,176,71,21,12,0,0,0,0,0,648.0,5940.0,4968.0,252,6696.0,972.0,1944.0
15,Seth,Jarvis,Detroit Red Wings,C,180,70,21,12,0,0,0,0,0,648.0,1296.0,1620.0,0,6912.0,1728.0,1188.0
16,Wyatt,Johnston,Edmonton Oilers,C,187,73,22,12,0,0,0,0,0,792.0,17028.0,16368.0,0,8184.0,1188.0,2772.0
17,Kirill,Kaprizov,Ottawa Senators,L,202,70,22,12,0,0,0,0,0,528.0,0.0,132.0,0,9900.0,924.0,1716.0
18,Dylan,Larkin,Pittsburgh Penguins,C,204,73,22,12,0,0,0,0,0,1200.0,30480.0,24240.0,0,8880.0,960.0,1440.0
19,Sam,Reinhart,,C,196,73,21,12,0,0,0,0,0,264.0,2772.0,6072.0,0,7788.0,2772.0,2508.0
20,Kiefer,Sherwood,New Jersey Devils,L,194,72,22,12,0,0,0,0,0,1536.0,480.0,960.0,264,3840.0,9216.0,1344.0
21,Tim,Stützle,,C,187,72,21,12,0,0,0,0,0,864.0,12420.0,8532.0,0,5940.0,3888.0,1836.0
22,John,Tavares,New York Rangers,C,217,73,22,12,0,0,0,0,0,720.0,27240.0,17520.0,0,7920.0,2640.0,960.0
23,Leo,Carlsson,Washington Capitals,C,208,75,22,11,0,0,0,0,0,2277.0,17523.0,20493.0,0,5445.0,495.0,1386.0
24,Kyle,Connor,,L,183,73,20,11,0,0,0,0,0,528.0,0.0,0.0,220,6512.0,792.0,264.0
25,Pavel,Dorofeyev,,R,194,73,21,11,0,0,0,0,0,528.0,0.0,0.0,231,5104.0,792.0,792.0
26,David,Pastrnak,Boston Bruins,R,199,72,23,11,0,0,0,0,0,1386.0,99.0,0.0,0,7821.0,3564.0,792.0
27,Mikko,Rantanen,Edmonton Oilers,R,228,76,22,11,0,0,0,0,0,6270.0,1540.0,1650.0,0,6380.0,1980.0,2310.0
28,Mark,Scheifele,,C,207,75,20,11,0,0,0,0,0,1584.0,16533.0,16236.0,0,4653.0,495.0,693.0
29,Tage,Thompson,,C,220,78,21,11,0,0,0,0,0,1100.0,10230.0,10010.0,0,9130.0,3190.0,1430.0
30,Tom,Wilson,Dallas Stars,R,225,76,22,11,0,0,0,0,0,5148.0,693.0,693.0,0,4950.0,6237.0,1782.0
31,Alex,DeBrincat,Pittsburgh Penguins,R,180,68,22,10,0,0,0,0,0,160.0,320.0,480.0,0,6880.0,720.0,640.0
32,Jack,Eichel,,C,208,74,21,10,0,0,0,0,0,140.0,11270.0,12040.0,0,6020.0,420.0,1050.0
33,Jack,Hughes,Montréal Canadiens,C,175,71,17,10,0,0,0,0,0,0.0,3120.0,6060.0,170,4140.0,120.0,660.0
34,Chris,Kreider,Washington Capitals,L,232,75,18,10,0,0,0,0,0,700.0,140.0,210.0,0,2870.0,490.0,700.0
35,Nikita,Kucherov,Los Angeles Kings,R,173,72,19,10,0,0,0,0,0,480.0,0.0,0.0,0,4800.0,480.0,400.0
36,Kirill,Marchenko,San Jose Sharks,R,201,75,22,10,0,0,0,0,0,560.0,0.0,70.0,220,4550.0,1330.0,1050.0
37,Connor,McDavid,New York Islanders,C,194,73,24,10,0,0,0,0,0,700.0,8400.0,9170.0,0,5040.0,560.0,420.0
38,William,Nylander,New York Rangers,R,200,72,19,10,0,0,0,0,0,960.0,1120.0,1760.0,0,3520.0,240.0,880.0
39,Alex,Ovechkin,Dallas Stars,L,238,75,22,10,0,0,0,0,0,320.0,80.0,0.0,220,4240.0,3200.0,560.0
40,Shane,Pinto,,C,206,75,21,10,0,0,0,0,0,960.0,10800.0,8800.0,0,4240.0,1520.0,1280.0
41,Nick,Schmaltz,,C,184,72,22,10,0,0,0,0,0,280.0,3080.0,5040.0,220,4060.0,420.0,980.0
42,Brock,Boeser,New Jersey Devils,R,208,73,20,9,0,0,0,0,0,0.0,1368.0,1584.0,0,3384.0,864.0,576.0
43,Logan,Cooley,,C,191,72,22,9,0,0,0,0,0,1080.0,5832.0,8478.0,198,2322.0,1242.0,648.0
44,Jake,DeBrusk,New Jersey Devils,L,198,73,22,9,0,0,0,0,0,324.0,405.0,486.0,0,5184.0,1458.0,972.0
45,Adam,Fantilli,San Jose Sharks,C,205,74,22,9,0,0,0,0,0,432.0,7560.0,7200.0,0,3816.0,1656.0,1008.0
46,Kevin,Fiala,Carolina Hurricanes,L,205,72,22,9,0,0,0,0,0,810.0,81.0,405.0,0,5670.0,891.0,891.0
47,Brandon,Hagel,Los Angeles Kings,L,186,74,20,9,0,0,0,0,0,756.0,819.0,1008.0,0,3654.0,819.0,819.0
48,Emil,Heineman,,L,204,74,22,9,0,0,0,0,0,720.0,216.0,72.0,0,3168.0,5256.0,1224.0
49,Tomas,Hertl,,C,220,75,21,9,0,0,0,0,0,648.0,16848.0,11016.0,0,5022.0,1944.0,1539.0
50,Auston,Matthews,New York Rangers,C,215,75,17,9,0,0,0,0,0,432.0,13032.0,9072.0,0,4680.0,936.0,2304.0
51,Dawson,Mercer,Montréal Canadiens,C,180,72,21,9,0,0,0,0,0,432.0,2214.0,2754.0,0,2160.0,756.0,1350.0
52,JJ,Peterka,,R,189,72,22,9,0,0,0,0,0,576.0,288.0,504.0,0,3096.0,288.0,432.0
53,Jack,Roslovic,New York Islanders,C,198,73,22,9,0,0,0,0,0,576.0,1944.0,1368.0,0,3600.0,504.0,864.0
54,Gabriel,Vilardi,,C,216,75,20,9,0,0,0,0,0,378.0,693.0,693.0,0,3150.0,378.0,630.0
55,Dmitri,Voronkov,San Jose Sharks,L,234,77,22,9,0,0,0,0,0,1728.0,144.0,576.0,0,3312.0,3096.0,720.0
56,Trevor,Zegras,,C,185,72,20,9,0,0,0,0,0,900.0,1395.0,2295.0,180,2115.0,360.0,405.0
57,Sebastian,Aho,Detroit Red Wings,C,189,72,21,8,0,0,0,0,0,256.0,10496.0,11520.0,0,3648.0,1408.0,704.0
58,Drake,Batherson,,R,209,75,18,8,0,0,0,0,0,288.0,48.0,0.0,0,1728.0,1440.0,528.0
59,Anthony,Cirelli,Los Angeles Kings,C,193,73,17,8,0,0,0,0,0,384.0,6336.0,7008.0,0,1344.0,384.0,768.0
60,Matt,Coronato,Vancouver Canucks,R,183,70,22,8,0,0,0,0,0,672.0,728.0,1792.0,0,3808.0,112.0,448.0
61,Dylan,Cozens,,C,205,75,21,8,0,0,0,0,0,448.0,6160.0,5432.0,0,2632.0,3584.0,672.0
62,Jordan,Eberle,,R,180,71,21,8,0,0,0,0,0,480.0,384.0,384.0,0,2640.0,960.0,576.0
63,Filip,Forsberg,St. Louis Blues,L,205,73,21,8,0,0,0,0,0,640.0,128.0,384.0,0,4160.0,3264.0,896.0
64,Dylan,Guenther,,R,191,73,22,8,0,0,0,0,0,384.0,640.0,832.0,0,4864.0,1344.0,512.0
65,Marcus,Johansson,Ottawa Senators,L,203,73,22,8,0,0,0,0,0,224.0,280.0,280.0,0,1848.0,616.0,336.0
66,Clayton,Keller,,R,175,70,22,8,0,0,0,0,0,336.0,112.0,56.0,0,3528.0,280.0,504.0
67,Artturi,Lehkonen,Calgary Flames,L,179,71,21,8,0,0,0,0,0,96.0,0.0,96.0,0,2688.0,528.0,1104.0
68,Cale,Makar,Calgary Flames,D,187,72,21,8,0,0,0,0,0,480.0,0.0,0.0,0,2832.0,624.0,1776.0
69,Anthony,Mantha,Toronto Maple Leafs,R,240,77,21,8,0,0,0,0,0,448.0,64.0,320.0,0,2368.0,576.0,832.0
70,Lucas,Raymond,Pittsburgh Penguins,L,186,71,20,8,0,0,0,0,0,112.0,56.0,0.0,0,2744.0,392.0,392.0
71,Jaden,Schwartz,,L,185,70,21,8,0,0,0,0,0,384.0,480.0,288.0,0,2016.0,1152.0,1008.0
72,Ivan,Barbashev,,L,203,72,21,7,0,0,0,0,0,84.0,84.0,252.0,0,1260.0,1302.0,420.0
73,Bobby,Brink,,R,169,68,20,7,0,0,0,0,0,420.0,210.0,490.0,0,1330.0,1015.0,315.0
74,Andre,Burakovsky,Philadelphia Flyers,L,203,75,18,7,0,0,0,0,0,294.0,0.0,196.0,0,1274.0,294.0,392.0
75,Blake,Coleman,Vancouver Canucks,L,199,71,23,7,0,0,0,0,0,420.0,294.0,462.0,0,2184.0,2184.0,882.0
76,Josh,Doan,,R,198,74,21,7,0,0,0,0,0,280.0,70.0,35.0,0,1995.0,735.0,210.0
77,Ryan,Donato,Philadelphia Flyers,C,190,72,21,7,0,0,0,0,0,420.0,1974.0,2688.0,0,1554.0,1092.0,168.0
78,Tyson,Foerster,,R,215,74,16,7,0,0,0,0,0,588.0,42.0,42.0,0,1344.0,630.0,420.0
79,Oliver,Kapanen,,C,194,74,21,7,0,0,0,0,0,196.0,3430.0,3283.0,0,1372.0,441.0,833.0
80,Adrian,Kempe,Carolina Hurricanes,R,200,74,22,7,0,0,0,0,0,784.0,539.0,882.0,0,3577.0,2156.0,637.0
81,Philipp,Kurashev,,C,190,72,20,7,0,0,0,0,0,280.0,560.0,595.0,0,1365.0,735.0,525.0
82,J.T.,Miller,,C,211,72,22,7,0,0,0,0,0,252.0,8526.0,6258.0,0,2142.0,2268.0,504.0
83,Corey,Perry,Carolina Hurricanes,R,208,75,16,7,0,0,0,0,0,546.0,126.0,126.0,0,1470.0,168.0,336.0
84,Elias,Pettersson,New Jersey Devils,C,176,74,22,7,0,0,0,0,0,84.0,9828.0,10500.0,0,1638.0,1008.0,1974.0
85,Matthew,Schaefer,,D,186,74,22,7,0,0,0,0,0,336.0,0.0,0.0,0,2520.0,462.0,1134.0
86,Tyler,Seguin,Edmonton Oilers,C,205,74,22,7,0,0,0,0,0,98.0,5586.0,4459.0,0,1372.0,637.0,343.0
87,Beckett,Sennecke,Washington Capitals,R,206,75,22,7,0,0,0,0,0,588.0,42.0,42.0,0,1554.0,924.0,588.0
88,Will,Smith,,C,180,72,22,7,0,0,0,0,0,336.0,126.0,672.0,0,1932.0,294.0,252.0
89,Jordan,Staal,Detroit Red Wings,C,220,76,21,7,0,0,0,0,0,805.0,8575.0,6230.0,0,945.0,1295.0,525.0
90,Andrei,Svechnikov,Detroit Red Wings,R,200,75,21,7,0,0,0,0,0,420.0,126.0,42.0,0,2520.0,966.0,252.0
91,Troy,Terry,Washington Capitals,R,193,72,22,7,0,0,0,0,0,168.0,84.0,42.0,0,2226.0,0.0,210.0
92,Alex,Tuch,,R,219,76,21,7,0,0,0,0,0,1519.0,245.0,490.0,0,2352.0,637.0,1176.0
93,Zach,Werenski,San Jose Sharks,D,214,74,22,7,0,0,0,0,0,0.0,0.0,0.0,0,4165.0,735.0,1617.0
94,Mika,Zibanejad,,C,208,74,23,7,0,0,0,0,0,196.0,7938.0,6811.0,0,3479.0,1470.0,833.0
95,Michael,Amadio,,R,206,73,21,6,0,0,0,0,0,144.0,108.0,108.0,0,864.0,1152.0,576.0
96,Viktor,Arvidsson,Boston Bruins,L,181,70,20,6,0,0,0,0,0,216.0,216.0,108.0,0,1872.0,288.0,432.0
97,Mathew,Barzal,,C,186,73,21,6,0,0,0,0,0,576.0,2232.0,4068.0,0,1800.0,324.0,576.0
98,Jackson,Blake,Detroit Red Wings,R,185,71,21,6,0,0,0,0,0,420.0,0.0,60.0,0,1470.0,120.0,420.0
99,Justin,Brazeau,Toronto Maple Leafs,R,232,78,12,6,0,0,0,0,0,0.0,0.0,0.0,0,660.0,510.0,480.0
100,Jakob,Chychrun,Dallas Stars,D,215,74,22,6,0,0,0,0,0,756.0,0.0,0.0,0,2556.0,792.0,972.0
101,Will,Cuylle,,L,212,75,23,6,0,0,0,0,0,480.0,360.0,270.0,0,1560.0,2490.0,750.0
102,Christian,Dvorak,,C,190,73,20,6,0,0,0,0,0,240.0,3630.0,2940.0,0,1080.0,330.0,480.0
103,Justin,Faulk,Buffalo Sabres,D,208,72,22,6,0,0,0,0,0,300.0,0.0,0.0,0,1230.0,570.0,1470.0
104,Nico,Hischier,Montréal Canadiens,C,200,73,21,6,0,0,0,0,0,180.0,6870.0,5940.0,0,1440.0,420.0,720.0
105,Nazem,Kadri,Vancouver Canucks,C,185,72,23,6,0,0,0,0,0,288.0,5004.0,5472.0,0,2700.0,612.0,288.0
106,Jordan,Kyrou,Buffalo Sabres,R,189,73,21,6,0,0,0,0,0,0.0,0.0,36.0,0,2016.0,108.0,396.0
107,Anton,Lundell,,C,196,73,21,6,0,0,0,0,0,288.0,7524.0,6192.0,0,1584.0,720.0,684.0
108,Evgeni,Malkin,Toronto Maple Leafs,C,213,77,21,6,0,0,0,0,0,504.0,2772.0,3384.0,0,1872.0,288.0,180.0
109,Timo,Meier,Montréal Canadiens,R,220,73,21,6,0,0,0,0,0,360.0,468.0,432.0,0,2340.0,1260.0,504.0
110,Matvei,Michkov,,R,172,70,20,6,0,0,0,0,0,576.0,0.0,36.0,0,1368.0,468.0,288.0
111,Vladislav,Namestnikov,,C,181,72,20,6,0,0,0,0,0,216.0,1188.0,2052.0,0,1116.0,828.0,504.0
112,Jake,Neighbours,Buffalo Sabres,L,201,72,10,6,0,0,0,0,0,96.0,48.0,0.0,0,312.0,600.0,168.0
113,Brock,Nelson,Calgary Flames,C,205,76,21,6,0,0,0,0,0,360.0,6912.0,7056.0,0,1296.0,432.0,648.0
114,Alex,Newhook,,C,200,71,17,6,0,0,0,0,0,240.0,1110.0,1560.0,0,720.0,780.0,150.0
115,Drew,O'Connor,New Jersey Devils,L,209,76,22,6,0,0,0,0,0,300.0,390.0,240.0,0,840.0,510.0,450.0
